Homo sapiens gene stable ID	Chimpanzee gene stable ID	Crab-eating macaque gene stable ID	Mouse Lemur gene stable ID	Mouse gene stable ID	Rat gene stable ID	Alpine marmot gene stable ID	Dog gene stable ID	Pig gene stable ID	Elephant gene stable ID	Chicken gene stable ID	Abingdon island giant tortoise gene stable ID
ENSG00000000005	ENSPTRG00000022086	ENSMFAG00000002133	ENSMICG00000011361	ENSMUSG00000031250	ENSRNOG00000060970	ENSMMMG00000016156	ENSCAFG00000017519	ENSSSCG00000012480	ENSLAFG00000011336	ENSGALG00000006821	ENSCABG00000009653
ENSG00000000457	ENSPTRG00000001665	ENSMFAG00000002890	ENSMICG00000012358	ENSMUSG00000026584	ENSRNOG00000025318	ENSMMMG00000018300	ENSCAFG00000015126	ENSSSCG00000006283	ENSLAFG00000018090	ENSGALG00000036264	ENSCABG00000018679
ENSG00000000460	ENSPTRG00000001664	ENSMFAG00000039080	ENSMICG00000012330	ENSMUSG00000041406	ENSRNOG00000059276	ENSMMMG00000018413	ENSCAFG00000015151	ENSSSCG00000006284	ENSLAFG00000014427	ENSGALG00000032743	ENSCABG00000018673
ENSG00000001036	ENSPTRG00000018671	ENSMFAG00000044682	ENSMICG00000026320	ENSMUSG00000019810	ENSRNOG00000015551	ENSMMMG00000001023	ENSCAFG00000000309	ENSSSCG00000004133	ENSLAFG00000022567	ENSGALG00000013773	ENSCABG00000019803
ENSG00000001167	ENSPTRG00000018146	ENSMFAG00000045942	ENSMICG00000009686	ENSMUSG00000023994	ENSRNOG00000012702	ENSMMMG00000024463	ENSCAFG00000001580	ENSSSCG00000001611	ENSLAFG00000016570	ENSGALG00000003247	ENSCABG00000009267
ENSG00000001461	ENSPTRG00000000346	ENSMFAG00000002140	ENSMICG00000034277	ENSMUSG00000028803	ENSRNOG00000037165	ENSMMMG00000018457	ENSCAFG00000012956	ENSSSCG00000003543	ENSLAFG00000012374	ENSGALG00000004268	ENSCABG00000001906
ENSG00000001561	ENSPTRG00000018231	ENSMFAG00000044542	ENSMICG00000031250	ENSMUSG00000023961	ENSRNOG00000010174	ENSMMMG00000024589	ENSCAFG00000002020	ENSSSCG00000025788	ENSLAFG00000001859	ENSGALG00000016708	ENSCABG00000015535
ENSG00000001617	ENSPTRG00000014948	ENSMFAG00000002063	ENSMICG00000016219	ENSMUSG00000034684	ENSRNOG00000017704	ENSMMMG00000003557	ENSCAFG00000010804	ENSSSCG00000011398	ENSLAFG00000006234	ENSGALG00000029621	ENSCABG00000008203
ENSG00000001626	ENSPTRG00000019619	ENSMFAG00000000170	ENSMICG00000046039	ENSMUSG00000041301	ENSRNOG00000055103	ENSMMMG00000014643	ENSCAFG00000003429	ENSSSCG00000016626	ENSLAFG00000005753	ENSGALG00000032986	ENSCABG00000013379
